name,injury date,return date,days missed,injury type,age,height,weight,reinjured
Reggie Jackson,28 December 2017,20 March 2018,82,1,27,6-3,208,0
Kyle Kuzma,14 March 2018,16 March 2018,2,1,23,6-9,220,1
OG Anunoby,02 March 2018,15 March 2018,13,1,21,6-8,232,0
Jordan Bell,08 March 2018,14 March 2018,6,1,23,6-9,224,0
Justin Anderson,14 February 2018,06 March 2018,20,1,25,6-6,228,0
LaMarcus Aldridge,03 March 2018,05 March 2018,2,1,33,6-11,260,0
Raul Neto,23 February 2018,02 March 2018,7,1,26,6-1,179,0
Carmelo Anthony,08 February 2018,13 February 2018,5,1,34,6-8,240,0
Garrett Temple,28 January 2018,30 January 2018,2,1,32,6-6,195,0
Stephen Curry,10 January 2018,13 January 2018,3,1,30,6-3,190,1
Anthony Davis,10 January 2018,12 January 2018,2,1,25,6-10,253,0
Derrick Favors,10 January 2018,12 January 2018,2,1,27,6-10,265,0
Brook Lopez,20 December 2017,03 January 2018,14,1,29,7-0,275,0
Stephen Curry,06 December 2017,30 December 2017,24,1,29,6-3,190,1
Evan Fournier,09 December 2017,26 December 2017,17,1,25,6-7,205,0
Jonathan Isaac,20 November 2017,17 December 2017,27,1,20,6-10,210,1
Frank Kaminsky,09 December 2017,11 December 2017,2,1,24,7-0,242,0
Kristaps Porzingis,03 December 2017,06 December 2017,3,1,22,7-3,240,0
Rondae Hollis-Jefferson,27 November 2017,02 December 2017,5,1,22,6-7,220,1
David Nwaba,07 November 2017,01 December 2017,24,1,24,6-4,209,0
Al-Farouq Aminu,02 November 2017,30 November 2017,28,1,27,6-9,220,0
Meyers Leonard,01 November 2017,15 November 2017,14,1,25,7-1,245,0
Bogdan Bogdanovic,18 October 2017,23 October 2017,5,1,25,6-6,205,0
DeMarcus Cousins,26 March 2017,29 March 2017,3,1,27,6-11,270,0
Brook Lopez,09 March 2017,12 March 2017,3,1,29,7-0,275,1
Rajon Rondo,06 March 2017,08 March 2017,2,1,31,6-1,186,0
Kristaps Porzingis,25 February 2017,01 March 2017,4,1,22,7-3,240,1
Tyson Chandler,11 February 2017,13 February 2017,2,1,35,7-1,240,0
DeMar DeRozan,24 January 2017,29 January 2017,5,1,28,6-7,221,0
D.J. Augustin,24 January 2017,27 January 2017,3,1,30,6-0,183,0
Danilo Gallinari,19 January 2017,21 January 2017,2,1,29,6-10,225,0
Dejounte Murray,14 January 2017,19 January 2017,5,1,21,6-5,170,0
Rajon Rondo,13 December 2016,15 December 2016,2,1,30,6-1,186,1
Kyle O'Quinn,11 December 2016,13 December 2016,2,1,26,6-10,250,0
Emmanuel Mudiay,08 December 2016,10 December 2016,2,1,20,6-5,200,0
Henry Ellenson,02 December 2016,04 December 2016,2,1,19,6-11,245,0
Gary Harris,16 November 2016,25 November 2016,9,1,22,6-4,210,0
Christian Wood,21 November 2016,23 November 2016,2,1,21,6-11,220,0
Myles Turner,21 November 2016,23 November 2016,2,1,20,6-11,243,0
Jonas Valanciunas,09 May 2016,23 May 2016,14,1,24,7-0,265,0
Stephen Curry,18 April 2016,24 April 2016,6,1,28,6-3,190,0
Kyrie Irving,03 April 2016,05 April 2016,2,1,24,6-3,193,0
Jae Crowder,15 March 2016,31 March 2016,16,1,26,6-6,235,0
Alex Len,19 February 2016,21 February 2016,2,1,23,7-1,260,0
Carmelo Anthony,13 January 2016,18 January 2016,5,1,32,6-8,240,0
D'Angelo Russell,08 January 2016,12 January 2016,4,1,20,6-5,195,0
Austin Rivers,26 December 2015,28 December 2015,2,1,23,6-4,200,0
Carmelo Anthony,23 December 2015,26 December 2015,3,1,31,6-8,240,1
Kyle O'Quinn,21 December 2015,26 December 2015,5,1,25,6-10,250,1
Jordan Clarkson,11 December 2015,15 December 2015,4,1,23,6-5,194,0
Klay Thompson,11 December 2015,12 December 2015,1,1,25,6-7,215,0
J.J. Barea,28 November 2015,09 December 2015,11,1,31,6-0,185,0
Seth Curry,09 November 2015,13 November 2015,4,1,25,6-2,185,0
Jeremy Lamb,28 October 2015,30 October 2015,2,1,23,6-5,185,0
Aron Baynes,24 March 2015,28 March 2015,4,1,29,6-10,260,0
Dwight Howard,28 January 2015,25 March 2015,56,1,30,6-11,265,0
Klay Thompson,18 March 2015,23 March 2015,5,1,25,6-7,215,1
