PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Brandon Knight,Suns,11 March 2015,25 March 2015,14,Sprained Left Ankle
Dewayne Dedmon,Magic,18 March 2015,25 March 2015,7,Sprained Left Ankle
Tobias Harris,Magic,18 March 2015,25 March 2015,7,Sprained Left Ankle
Anthony Davis,Pelicans,19 March 2015,22 March 2015,3,Sprained Left Ankle
Enes Kanter,Thunder,20 March 2015,22 March 2015,2,Sprained Left Ankle
DeMarcus Cousins,Kings,27 February 2015,03 March 2015,4,Sprained Left Ankle
Tyson Chandler,Mavericks,11 February 2015,19 February 2015,8,Sprained Left Ankle
Tobias Harris,Magic,14 January 2015,21 January 2015,7,Sprained Left Ankle
Cory Joseph,Spurs,26 November 2014,10 January 2015,45,Sprained Left Ankle
Isaiah Canaan,Rockets,13 December 2014,17 December 2014,4,Sprained Left Ankle
Nerlens Noel,76ers,07 November 2014,13 November 2014,6,Sprained Left Ankle
Taj Gibson,Bulls,01 November 2014,04 November 2014,3,Sprained Left Ankle
Dwight Howard,Rockets,09 April 2014,12 April 2014,3,Sprained Left Ankle
Terrence Ross,Raptors,02 March 2014,07 March 2014,5,Sprained Left Ankle
Meyers Leonard,Blazers,19 February 2014,01 March 2014,10,Sprained Left Ankle
Nikola Vucevic,Magic,04 January 2014,06 January 2014,2,Sprained Left Ankle
Brook Lopez,Nets,18 November 2013,29 November 2013,11,Sprained Left Ankle
Tobias Harris,Magic,23 November 2013,24 November 2013,1,Sprained Left Ankle
Bradley Beal,Wizards,06 March 2013,16 March 2013,10,Sprained Left Ankle
Dion Waiters,Cavaliers,05 December 2012,18 December 2012,13,Sprained Left Ankle
J.J. Barea,Timberwolves,09 March 2012,12 March 2012,3,Sprained Left Ankle
LaMarcus Aldridge,Blazers,15 February 2012,18 February 2012,3,Sprained Left Ankle
J.J. Barea,Timberwolves,27 January 2012,01 February 2012,5,Sprained Left Ankle
Taj Gibson,Bulls,23 January 2012,27 January 2012,4,Sprained Left Ankle
Marvin Williams,Hawks,09 January 2012,12 January 2012,3,Sprained Left Ankle
Garrett Temple,Bobcats,23 March 2011,25 March 2011,2,Sprained Left Ankle
LeBron James,Heat,15 January 2011,18 January 2011,3,Sprained Left Ankle
Kendrick Nunn,Heat,28 March 2021,01 April 2021,4,Sprained Right Ankle
Landry Shamet,Nets,22 March 2021,01 April 2021,10,Sprained Right Ankle
Doug McDermott,Pacers,29 March 2021,31 March 2021,2,Sprained Right Ankle
Reggie Bullock,Knicks,25 March 2021,29 March 2021,4,Sprained Right Ankle
Christian Wood,Rockets,05 February 2021,17 March 2021,40,Sprained Right Ankle
Theo Maledon,Thunder,14 March 2021,15 March 2021,1,Sprained Right Ankle
Dario Saric,Suns,26 February 2021,28 February 2021,2,Sprained Right Ankle
Terry Rozier,Hornets,01 February 2021,05 February 2021,4,Sprained Right Ankle
Christian Wood,Rockets,21 January 2021,28 January 2021,7,Sprained Right Ankle
Danilo Gallinari,Hawks,02 January 2021,22 January 2021,20,Sprained Right Ankle
Cameron Payne,Suns,09 January 2021,18 January 2021,9,Sprained Right Ankle
Goga Bitadze,Pacers,23 December 2020,17 January 2021,25,Sprained Right Ankle
Josh Jackson,Pistons,04 January 2021,08 January 2021,4,Sprained Right Ankle
James Harden,Rockets,02 January 2021,04 January 2021,2,Sprained Right Ankle
Jahlil Okafor,Pistons,28 December 2020,01 January 2021,4,Sprained Right Ankle
Jimmy Butler,Heat,26 December 2020,01 January 2021,6,Sprained Right Ankle
