name,year_end,position,height,weight,birth_date
Jerami Grant,2018,F,6-8,210,1994
Jerian Grant,2018,G,6-4,195,1992
Aaron Gray,2014,C,7-0,270,1984
Danny Green,2018,G-F,6-6,215,1987
Draymond Green,2018,F,6-7,230,1990
Erick Green,2016,G,6-4,185,1991
Gerald Green,2017,G-F,6-7,205,1986
JaMychal Green,2018,F,6-9,227,1990
Jeff Green,2018,F,6-9,235,1986
Willie Green,2015,G,6-4,200,1981
Donte Greene,2012,F,6-11,226,1988
Orien Greene,2011,G,6-4,208,1982
Blake Griffin,2018,F,6-10,251,1989
Taylor Griffin,2010,F,6-7,238,1986
Jorge Gutierrez,2016,G,6-3,191,1988
Hamed Haddadi,2013,C,7-2,254,1985
Malik Hairston,2010,G,6-6,220,1987
P.J. Hairston,2016,G-F,6-6,230,1992
Marcus Haislip,2010,F,6-10,230,1980
Daniel Hamilton,2018,G-F,6-7,195,1995
Jordan Hamilton,2016,G-F,6-7,220,1990
Justin Hamilton,2017,C,7-0,260,1990
Richard Hamilton,2013,G-F,6-6,185,1978
A.J. Hammons,2017,C,7-0,260,1992
Ben Hansbrough,2013,G,6-3,203,1987
Tyler Hansbrough,2016,F,6-9,250,1985
Luke Harangody,2012,F,6-8,246,1988
Tim Hardaway,2018,G,6-6,205,1992
James Harden,2018,G,6-5,220,1989
Maurice Harkless,2018,F-G,6-9,215,1993
Justin Harper,2017,F,6-10,225,1989
Montrezl Harrell,2018,F-C,6-8,240,1994
Josh Harrellson,2014,C,6-10,275,1989
Al Harrington,2014,F,6-9,230,1980
Devin Harris,2018,G,6-3,192,1983
Elias Harris,2014,F,6-8,239,1989
Gary Harris,2018,G,6-4,210,1994
Joe Harris,2018,G,6-6,219,1991
Manny Harris,2017,G,6-5,185,1989
Mike Harris,2014,F,6-6,240,1983
Terrel Harris,2013,G,6-5,190,1987
Tobias Harris,2018,F,6-9,235,1992
Aaron Harrison,2017,G,6-6,210,1994
Andrew Harrison,2018,G,6-6,213,1994
Jason Hart,2010,G,6-3,185,1978
Josh Hart,2018,G,6-5,209,1995
Udonis Haslem,2018,F-C,6-8,235,1980
Trenton Hassell,2010,G,6-5,200,1979
Spencer Hawes,2017,C-F,7-1,245,1988
Chuck Hayes,2016,F-C,6-6,240,1983
Jarvis Hayes,2010,F,6-7,220,1981
Gordon Hayward,2018,F-G,6-8,226,1990
Lazar Hayward,2013,F,6-6,225,1986
Brendan Haywood,2015,C,7-0,268,1979
Luther Head,2011,G,6-3,185,1982
Gerald Henderson,2017,G,6-5,215,1987
Xavier Henry,2015,G,6-6,220,1991
John Henson,2018,C-F,6-11,229,1990
Juan Hernangomez,2018,F,6-9,230,1995
Willy Hernangomez,2018,C,6-11,240,1994
Mario Hezonja,2018,F-G,6-8,215,1995
Roy Hibbert,2017,C,7-2,270,1986
J.J. Hickson,2016,F-C,6-9,242,1988
Buddy Hield,2018,G,6-4,214,1993
Cory Higgins,2013,G,6-5,180,1989
Nene Hilario,2018,F-C,6-11,250,1982
George Hill,2018,G,6-3,188,1986
Grant Hill,2013,F-G,6-8,225,1972
Jordan Hill,2017,C-F,6-10,235,1987
Solomon Hill,2017,F,6-7,225,1991
Darrun Hilliard,2018,G,6-6,205,1993
Kirk Hinrich,2016,G,6-4,190,1981
Darington Hobson,2012,G,6-7,210,1987
Jrue Holiday,2018,G,6-4,205,1990
Justin Holiday,2018,G,6-6,185,1989
John Holland,2018,G-F,6-5,205,1988
Ryan Hollins,2016,C,7-0,240,1984
Rondae Hollis-Jefferson,2018,F,6-7,220,1995
Richaun Holmes,2018,F-C,6-10,245,1993
Tyler Honeycutt,2013,F,6-8,188,1990
Rodney Hood,2018,G-F,6-8,206,1992
Scotty Hopson,2014,G,6-7,204,1989
Al Horford,2018,C-F,6-10,245,1986
Dennis Horner,2012,F,6-9,230,1988
Danuel House,2018,G,6-7,207,1993
Eddie House,2011,G,6-1,180,1978
Dwight Howard,2018,C,6-11,265,1985
Josh Howard,2013,F-G,6-7,210,1980
Juwan Howard,2013,F,6-9,240,1973
Lester Hudson,2015,G,6-3,190,1984
Marcelo Huertas,2017,G,6-3,200,1983
Josh Huestis,2018,F,6-7,230,1991
Larry Hughes,2012,G,6-5,184,1979
Robbie Hummel,2015,F,6-8,215,1989
Kris Humphries,2017,F-C,6-9,235,1985
Chris Hunter,2010,F,6-11,240,1984
Lindsey Hunter,2010,G,6-2,170,1970
Othello Hunter,2010,F,6-8,225,1986
R.J. Hunter,2017,G,6-5,185,1993
Steven Hunter,2010,C,7-0,220,1981
Vince Hunter,2018,F,6-8,208,1994
Serge Ibaka,2018,F-C,6-10,235,1989
Andre Iguodala,2018,G-F,6-6,215,1984
Zydrunas Ilgauskas,2011,C,7-3,238,1975
Didier Ilunga-Mbenga,2011,C,7-0,245,1980
Ersan Ilyasova,2018,F,6-10,235,1987
Joe Ingles,2018,F-G,6-8,226,1987
Damien Inglis,2016,F,6-8,246,1995
Brandon Ingram,2018,F,6-9,190,1997
Kyrie Irving,2018,G,6-3,193,1992
Jonathan Isaac,2018,F,6-10,210,1997
Allen Iverson,2010,G,6-0,165,1975
Royal Ivey,2014,G,6-3,200,1981
Wesley Iwundu,2018,F,6-7,193,1994
Jarrett Jack,2018,G,6-3,200,1983
Cedric Jackson,2010,G,6-3,191,1986
Darnell Jackson,2011,F,6-9,253,1985
Demetrius Jackson,2018,G,6-1,201,1994
Josh Jackson,2018,F-G,6-8,207,1997
Justin Jackson,2018,G-F,6-8,200,1995
Pierre Jackson,2017,G,5-10,180,1991
Reggie Jackson,2018,G,6-3,208,1990
Stephen Jackson,2014,F-G,6-8,218,1978
Bernard James,2015,C,6-10,240,1985
Damion James,2014,G-F,6-7,225,1987
LeBron James,2018,F-G,6-8,250,1984
Mike James,2014,G,6-2,188,1975
Mike James,2018,G,6-1,189,1990
Antawn Jamison,2014,F,6-8,223,1976
Nathan Jawai,2010,C-F,6-10,280,1986
Othyus Jeffers,2014,G,6-5,200,1985
Al Jefferson,2018,C-F,6-10,289,1985
Cory Jefferson,2016,F,6-9,218,1990
Richard Jefferson,2018,F,6-7,233,1980
Jared Jeffries,2013,F,6-11,230,1981
Charles Jenkins,2013,G,6-3,220,1989
John Jenkins,2017,G,6-4,215,1991
Brandon Jennings,2017,G,6-1,170,1989
Jonas Jerebko,2018,F,6-10,231,1987
Grant Jerrett,2015,F,6-10,235,1993
Eugene Jeter,2011,G,5-11,175,1983
Yi Jianlian,2012,F,7-0,240,1987
Amir Johnson,2018,F-C,6-9,240,1987
Anthony Johnson,2010,G,6-3,190,1974
Armon Johnson,2012,G,6-3,195,1989
Brice Johnson,2018,F,6-10,230,1994
Carldell Johnson,2012,G,5-10,180,1983
Chris Johnson,2013,C,6-11,210,1985
Chris Johnson,2016,F-G,6-6,206,1990
Dakari Johnson,2018,C,7-0,255,1995
Ivan Johnson,2013,F,6-8,230,1984
JaJuan Johnson,2012,F,6-10,221,1989
James Johnson,2018,F,6-9,250,1987
Joe Johnson,2018,G-F,6-7,240,1981
Nick Johnson,2015,G,6-3,202,1992
Orlando Johnson,2016,G,6-5,220,1989
Stanley Johnson,2018,F,6-7,245,1996
Trey Johnson,2012,G,6-5,218,1984
Tyler Johnson,2018,G,6-4,186,1992
Wesley Johnson,2018,F-G,6-7,215,1987
Darius Johnson-Odom,2014,G,6-2,215,1989
Nikola Jokic,2018,C-F,6-10,250,1995
Dahntay Jones,2017,G-F,6-6,225,1980
Damian Jones,2018,F-C,7-0,245,1995
DeQuan Jones,2013,F,6-8,221,1990
Derrick Jones,2018,F,6-7,190,1997
Dominique Jones,2013,G,6-4,215,1988
Dwayne Jones,2010,F-C,6-11,250,1983
Jalen Jones,2018,G,6-7,223,1993
James Jones,2017,F-G,6-8,218,1980
Kevin Jones,2013,F,6-8,251,1989
Perry Jones,2015,F,6-11,235,1991
Solomon Jones,2014,F,6-10,230,1984
Terrence Jones,2017,F,6-9,252,1992
Tyus Jones,2018,G,6-2,195,1996
DeAndre Jordan,2018,C,6-11,265,1988
Jerome Jordan,2015,C,7-0,253,1986
Cory Joseph,2018,G,6-3,193,1991
Kris Joseph,2013,F,6-7,210,1988
Chris Kaman,2016,C,7-0,265,1982
Frank Kaminsky,2018,F-C,7-0,242,1993
Enes Kanter,2018,C,6-11,245,1992
Jason Kapono,2012,F,6-8,213,1981
Sergey Karasev,2016,G-F,6-7,208,1993
Coby Karl,2010,G,6-5,215,1983
Sasha Kaun,2016,C,6-11,260,1985
Ryan Kelly,2017,F,6-11,230,1991
Luke Kennard,2018,G,6-6,206,1996
D.J. Kennedy,2012,F,6-6,215,1989
Jason Kidd,2013,G,6-4,205,1973
Michael Kidd-Gilchrist,2018,F,6-7,232,1993
Sean Kilpatrick,2018,G,6-4,210,1990
Andrei Kirilenko,2015,F,6-9,220,1981
Alex Kirk,2015,C,7-0,245,1991
Maxi Kleber,2018,F,6-10,220,1992
Linas Kleiza,2013,F,6-8,245,1985
Brandon Knight,2017,G,6-3,189,1991
Furkan Korkmaz,2018,G,6-7,185,1997
Kyle Korver,2018,G-F,6-7,212,1981
Kosta Koufos,2018,C,7-0,265,1989
Viacheslav Kravtsov,2014,C,7-0,260,1987
Nenad Krstic,2011,C,7-0,240,1983
Kyle Kuzma,2018,F,6-9,220,1995
Ognjen Kuzmic,2015,C,7-1,251,1990
Mindaugas Kuzminskas,2018,F,6-9,215,1989
Skal Labissiere,2018,F,6-11,225,1996
Oliver Lafayette,2010,G,6-2,190,1984
Doron Lamb,2014,G,6-4,210,1991
Jeremy Lamb,2018,G-F,6-5,185,1992
Carl Landry,2016,F,6-9,248,1983
Marcus Landry,2010,F,6-7,230,1985
Nicolas Laprovittola,2017,G,6-4,180,1990
Shane Larkin,2018,G,5-11,175,1992
Joffrey Lauvergne,2018,C-F,6-11,220,1991
Zach LaVine,2017,G,6-5,189,1995
Acie Law,2011,G,6-3,195,1985
Gani Lawal,2011,F,6-9,234,1988
Ty Lawson,2017,G,5-11,195,1987
Jake Layman,2018,F,6-9,210,1994
T.J. Leaf,2018,F,6-10,222,1997
Ricky Ledo,2015,G,6-7,195,1992
