Date,Team,Acquired,Relinquished,Notes
3/28/14,Bobcats,,Gary Neal,sprained left ankle (DNP)
3/28/14,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/28/14,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/28/14,Celtics,,Vitor Faverani,knee injury (DNP)
3/28/14,Heat,,Greg Oden,placed on IL with back spasms (out for season)
3/28/14,Heat,,Mario Chalmers,bruised right quadricap (DNP)
3/28/14,Heat,,Ray Allen,placed on IL with stomach virus
3/28/14,Heat,Justin Hamilton ,,activated from IL
3/28/14,Kings,,Derrick Williams,illness (DNP)
3/28/14,Lakers,,Pau Gasol,vertigo (DNP)
3/28/14,Lakers,,Xavier Henry,sore right knee (DNP)
3/28/14,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
3/28/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
3/28/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/28/14,Nuggets,,Wilson Chandler,strained left groin (DNP)
3/28/14,Nuggets,Jan Vesely,,returned to lineup
3/28/14,Pelicans,,Brian Roberts,bone bruise in left knee (DNP)
3/28/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/28/14,Pelicans,,Jason Smith,right knee injury (DNP)
3/28/14,Pistons,,Charlie Villanueva,sore back (DNP)
3/28/14,Rockets,,Patrick Beverley,right knee injury (DTD) (CBC) / torn meniscus in right knee (out indefinitely)
3/28/14,Spurs,,Danny Green,right foot inflammation (DNP)
3/28/14,Thunder,,Reggie Jackson ,back spasms (DNP)
3/28/14,Warriors,,David Lee,strained right hamstring (DNP)
3/28/14,Warriors,,Ognen Kuzmic,placed on IL
3/28/14,Warriors,Andre Iguodala,,activated from IL
3/28/14,Heat,Dwyane Wade,,activated from IL
3/28/14,Heat,,Dwyane Wade,strained left hamstring (DNP)
3/29/14,76ers,,B.J. Mullens,sprained left ankle (DNP)
3/29/14,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/29/14,Bucks,,Nate Wolters,fractured left hand (DNP)
3/29/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
3/29/14,Clippers,,Danny Granger,strained left hamstring (DNP)
3/29/14,Hawks,,DeMarre Carroll,stomach virus (DNP)
3/29/14,Hawks,,Kyle Korver,back spasms (DNP)
3/29/14,Heat,,Dwyane Wade,strained left hamstring (DNP)
3/29/14,Heat,,Mario Chalmers,bruised right quadricap (DNP)
3/29/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
3/29/14,Mavericks,,Gal Mekel,knee injury (DNP)
3/29/14,Pelicans,,Anthony Davis,left ankle injury (DNP)
3/29/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/29/14,Pelicans,,Jason Smith,right knee injury (DNP)
3/29/14,Pistons,,Charlie Villanueva,sore back (DNP)
3/29/14,Rockets,,Dwight Howard,sprained left ankle (DNP)
3/29/14,Rockets,,Patrick Beverley,torn meniscus in right knee / sprained right knee (P) (DNP)
3/29/14,Spurs,,Danny Green,right foot inflammation (DNP)
3/30/14,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/30/14,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/30/14,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/30/14,Celtics,,Vitor Faverani,knee injury (DNP)
3/30/14,Jazz,,Malcolm Thomas ,placed on IL
3/30/14,Jazz,Alec Burks,,activated from IL
3/30/14,Lakers,,Pau Gasol,vertigo (DNP)
3/30/14,Lakers,,Steve Nash,nerve root irritation (DNP)
3/30/14,Lakers,,Xavier Henry,torn ligament in left wrist / knee injury (CBC) (DNP)
3/30/14,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
3/30/14,Thunder,,Reggie Jackson ,back spasms (DNP)
3/30/14,Warriors,,Andrew Bogut,bruised pelvis (DNP)
3/30/14,Warriors,,David Lee,strained right hamstring (DNP)
3/31/14,76ers,,B.J. Mullens,sprained left ankle (DNP)
3/31/14,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/31/14,Bucks,,Nate Wolters,fractured left hand (DNP)
3/31/14,Celtics,,Vitor Faverani,knee injury (DNP)
3/31/14,Clippers,,Blake Griffin,back spasms (DNP)
3/31/14,Clippers,,Danny Granger,strained left hamstring (DNP)
3/31/14,Clippers,,Jamal Crawford,left calf injury (DNP)
3/31/14,Heat,,Dwyane Wade,strained left hamstring (DNP)
3/31/14,Kings,,Aaron Gray,illness (DNP)
3/31/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
3/31/14,Knicks,,Amar'e Stoudemire,knee injury (DNP)
3/31/14,Knicks,,Toure Murry,stomach virus (DNP)
3/31/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
3/31/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/31/14,Nuggets,,Wilson Chandler,strained left groin (DNP)
3/31/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/31/14,Pelicans,,Jason Smith,right knee injury (DNP)
3/31/14,Raptors,,Dwight Buycks,placed on IL
3/31/14,Raptors,Patrick Patterson,,activated from IL
3/31/14,Spurs,,Aron Baynes,sprained right foot / rib injury (CBC) (DNP)
4/1/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/1/14,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
4/1/14,Nets,,Marcus Thornton ,back injury (DNP)
4/1/14,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/1/14,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/1/14,Rockets,,Terrence Jones,flu (DNP)
4/1/14,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4/1/14,Warriors,,David Lee,strained right hamstring (DNP)
4/2/14,76ers,,B.J. Mullens,sprained left ankle (DNP)
4/2/14,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4/2/14,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4/2/14,Bucks,,Nate Wolters,fractured left hand (DNP)
4/2/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/2/14,Cavaliers,,Anderson Varejao,sprained AC joint in right shoulder (DNP)
4/2/14,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4/2/14,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4/2/14,Cavaliers,Kyrie Irving,,activated from IL
4/2/14,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4/2/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/2/14,Clippers,,Danny Granger,strained left hamstring (DNP)
4/2/14,Clippers,,Jamal Crawford,left calf injury (DNP)
4/2/14,Heat,,Dwyane Wade,placed on IL with strained left hamstring
4/2/14,Kings,,Aaron Gray,stomach illness (DNP)
4/2/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/2/14,Lakers,,Chris Kaman,sore right calf (DNP)
4/2/14,Lakers,,Pau Gasol,vertigo (DNP)
4/2/14,Lakers,,Steve Nash,sprained ankle / nerve root irritation (P) (DNP)
4/2/14,Lakers,,Xavier Henry,torn ligament in left wrist (DNP)
4/2/14,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
4/2/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/2/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/2/14,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/2/14,Pacers,,Solomon Hill,sore back (DNP)
4/2/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/2/14,Pelicans,,Jason Smith,right knee injury (DNP)
4/2/14,Raptors,,Kyle Lowry,placed on IL with sore left knee
4/2/14,Raptors,Julyan Stone,,activated from IL
4/2/14,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/2/14,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/2/14,Spurs,,Aron Baynes,rib injury (DNP)
4/2/14,Spurs,,Austin Daye,strained lat (DNP)
4/2/14,Timberwolves,,Nikola Pekovic,placed on IL with sore right ankle
4/2/14,Timberwolves,Ronny Turiaf,,activated from IL
4/2/14,Warriors,,Andre Iguodala,right knee injury (DNP)
4/2/14,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4/2/14,Warriors,,David Lee,strained right hamstring / right knee tendinitis (P) (DNP)
4/2/14,Heat,Ray Allen,,activated from IL
4/2/14,Heat,,Ray Allen,stomach virus (DNP)
4/3/14,Clippers,,Danny Granger,placed on IL with strained left hamstring
4/3/14,Clippers,,Jamal Crawford,left calf injury (DNP)
4/3/14,Clippers,J.J. Redick,,activated from IL
4/3/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/3/14,Spurs,,Aron Baynes,placed on IL with rib injury
4/3/14,Spurs,,Austin Daye,strained lat (DNP)
4/3/14,Spurs,,Manu Ginobili,rest (DNP)
4/3/14,Thunder,,Reggie Williams,placed on IL
4/3/14,Thunder,Kendrick Perkins,,activated from IL
4/3/14,Timberwolves,A.J. Price,,activated from IL
4/4/14,76ers,,B.J. Mullens,sprained left ankle (DNP)
4/4/14,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4/4/14,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/4/14,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4/4/14,Bucks,,Nate Wolters,fractured left hand (DNP)
4/4/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/4/14,Cavaliers,,C.J. Miles,placed on IL with sprained left ankle (out for season)
4/4/14,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP)
4/4/14,Cavaliers,,Will Bynum,placed on IL with foot injury (out for season)
4/4/14,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4/4/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/4/14,Heat,,Justin Hamilton ,illness (DNP)
4/4/14,Jazz,,Brandon Rush,placed on IL with illness
4/4/14,Jazz,Malcolm Thomas ,,activated from IL
4/4/14,Kings,,Aaron Gray,illness (DNP)
4/4/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/4/14,Lakers,,Chris Kaman,sore right calf (DNP)
4/4/14,Lakers,,Pau Gasol,vertigo (DNP)
4/4/14,Lakers,,Xavier Henry,torn ligament in left wrist (DNP)
4/4/14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/4/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/4/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/4/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/4/14,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/4/14,Pacers,,Solomon Hill,sore back (DNP)
4/4/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/4/14,Pelicans,,Jason Smith,right knee injury (DNP)
4/4/14,Pistons,Josh Harrellson,,activated from IL
4/4/14,Raptors,,Amir Johnson,placed on IL with right ankle injury
4/4/14,Raptors,Dwight Buycks,,activated from IL
4/4/14,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/4/14,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/4/14,Thunder,,Russell Westbrook,rest / knee injury (DNP)
4/4/14,Thunder,,Thabo Sefolosha,placed on IL with strained left calf (P)
4/4/14,Thunder,Reggie Williams,,activated from IL
4/4/14,Timberwolves,,Dante Cunningham,placed on IL with legal issues
4/4/14,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/4/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/4/14,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4/4/14,Warriors,,David Lee,strained right hamstring (DNP)
4/5/14,76ers,,B.J. Mullens,sprained left ankle (DNP)
4/5/14,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4/5/14,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/5/14,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4/5/14,Bucks,,Miroslav Raduljica,sprained ankle (DNP)
4/5/14,Bucks,,Nate Wolters,fractured left hand (DNP)
4/5/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/5/14,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP)
4/5/14,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4/5/14,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/5/14,Celtics,,Rajon Rondo,rest (DNP)
4/5/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/5/14,Lakers,,Steve Nash,back injury (DNP)
4/5/14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/5/14,Nets,,Marquis Teague,placed on IL
4/5/14,Nets,Kevin Garnett,,activated from IL
4/5/14,Timberwolves,,Kevin Love,back spasms (DNP)
4/5/14,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/5/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/5/14,Timberwolves,,Shabazz Muhammad,sore right knee (DNP)
4/5/14,Timberwolves,Dante Cunningham,,activated from IL
4/5/14,Jazz,Andris Biedrins,,activated from IL
4/6/14,Clippers,,Danny Granger,strained left hamstring (DNP)
4/6/14,Clippers,,Jamal Crawford,left calf injury (DNP)
4/6/14,Grizzlies,,Tayshaun Prince,placed on IL with sprained left ankle
4/6/14,Grizzlies,Jamaal Franklin,,activated from IL
4/6/14,Hawks,,Lou Williams,hamstring injury (DNP)
4/6/14,Heat,,Chris Andersen,bruised right knee (DNP)
4/6/14,Heat,,Justin Hamilton ,illness (DNP)
4/6/14,Jazz,,Erik Murphy,placed on IL
4/6/14,Jazz,,Malcolm Thomas ,placed on IL
4/6/14,Jazz,Brandon Rush,,activated from IL
4/6/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/6/14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/6/14,Lakers,,Pau Gasol,vertigo (DNP)
4/6/14,Lakers,,Steve Nash,nerve root irritation (DNP)
4/6/14,Lakers,,Xavier Henry,placed on IL with left wrist injury
4/6/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/6/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/6/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/6/14,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/6/14,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/6/14,Pacers,,Solomon Hill,sore back (DNP)
4/6/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/6/14,Pelicans,,Jason Smith,right knee injury (DNP)
4/6/14,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/6/14,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/6/14,Spurs,,Damion James,placed on IL
4/6/14,Spurs,Matt Bonner,,activated from IL
4/6/14,Thunder,,Reggie Williams,placed on IL
4/6/14,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP)
4/6/14,Lakers,Jordan Farmar,,activated from IL
4/6/14,Lakers,,Jordan Farmar,strained right groin (DNP)
4/7/14,Lakers,,Kent Bazemore,right foot injury (out indefinitely)
4/8/14,Hawks,,Lou Williams,hamstring injury (DNP)
4/8/14,Heat,,Udonis Haslem,stomach virus (DNP)
4/8/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/8/14,Kings,,Reggie Evans,sore lower back (DNP)
4/8/14,Kings,,Rudy Gay,strained lower back (DNP)
4/8/14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/8/14,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
4/8/14,Lakers,,Pau Gasol,vertigo (DNP)
4/8/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/8/14,Nets,,Andray Blatche,illness (DNP)
4/8/14,Nets,,Kevin Garnett,placed on IL with back injury
4/8/14,Nets,Marquis Teague,,activated from IL
4/8/14,Pelicans,,Ryan Anderson,surgery on neck to repair herniated disc (out for season) (date approximate)
4/8/14,Pistons,,Josh Smith,knee injury (DNP)
4/8/14,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/8/14,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/8/14,Spurs,, Tony Parker,placed on IL with back spasms
4/8/14,Spurs,Damion James,,activated from IL
4/8/14,Thunder,,Russell Westbrook,knee injury (DNP)
4/8/14,Thunder,Thabo Sefolosha,,activated from IL
4/8/14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/8/14,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/8/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/8/14,Timberwolves,,Shabazz Muhammad,placed on IL with sprained MCL in right knee (out for season)
4/9/14,76ers,,B.J. Mullens,sprained left ankle (DNP)
4/9/14,Blazers,,Allen Crabbe,placed on IL
4/9/14,Blazers,,Mo Williams,placed on IL with knee injury
4/9/14,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/9/14,Bucks,,Ersan Ilyasova,placed on IL with right ankle injury (out for season)
4/9/14,Bucks,,Miroslav Raduljica,sprained ankle (DNP)
4/9/14,Bucks,,Nate Wolters,placed on IL with fractured left hand (out for season)
4/9/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/9/14,Bucks,Larry Sanders ,,activated from IL
4/9/14,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/9/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/9/14,Clippers,,Danny Granger,strained left hamstring (DNP)
4/9/14,Clippers,,Jamal Crawford,left calf injury (DNP)
4/9/14,Hawks,,Pero Antic,sore right ankle (DNP)
4/9/14,Heat,,Chris Andersen,bruised right knee (DNP)
4/9/14,Heat,,Udonis Haslem,stomach virus (DNP)
4/9/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/9/14,Kings,,Rudy Gay,strained lower back (DNP)
4/9/14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/9/14,Nets,,Andray Blatche,placed on IL with illness
4/9/14,Nets,,Paul Pierce,right hip pointer (DNP)
4/9/14,Nets,,Shaun Livingston,sprained right big toe (DNP)
4/9/14,Nets,Kevin Garnett,,activated from IL
4/9/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/9/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/9/14,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/9/14,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/9/14,Pacers,,David West,rest (DNP)
4/9/14,Pacers,,George Hill,rest (DNP)
4/9/14,Pacers,,Lance Stephenson,rest (DNP)
4/9/14,Pacers,,Paul George,rest (DNP)
4/9/14,Pacers,,Roy Hibbert,placed on IL
4/9/14,Pacers,C.J. Watson,,activated from IL
4/9/14,Pelicans,,Anthony Davis,back spasms (DNP)
4/9/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/9/14,Pelicans,,Jason Smith,right knee injury (DNP)
4/9/14,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
4/9/14,Raptors,,Julyan Stone,placed on IL
4/9/14,Raptors,Kyle Lowry,,activated from IL
4/9/14,Rockets,,Dwight Howard,placed on IL with sprained left ankle
4/9/14,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/9/14,Thunder,,Andre Roberson,placed on IL
4/9/14,Thunder,,Grant Jerrett,placed on IL
4/9/14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/9/14,Timberwolves,,Jose Barea ,back spasms (DNP)
4/9/14,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/9/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/9/14,Wizards,,Chris Singleton,placed on IL
4/9/14,Wizards,Nene Hilario ,,activated from IL
4/10/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/10/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/10/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/10/14,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/10/14,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/10/14,Spurs,,Damion James,placed on IL
4/10/14,Spurs,Aron Baynes,,activated from IL
4/10/14,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP)
4/10/14,Rockets,Greg Smith ,,activated from IL
4/11/14,Blazers,Mo Williams,,activated from IL
4/11/14,Bobcats,,Kemba Walker,sore right groin (DNP)
4/11/14,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/11/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/11/14,Cavaliers,,Luol Deng,back injury (DNP)
4/11/14,Cavaliers,,Scotty Hopson,placed on IL
4/11/14,Cavaliers,,Sergey Karasev,placed on IL
4/11/14,Celtics,,Rajon Rondo,bruised left shin (DNP)
4/11/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/11/14,Jazz,,Marvin Williams,placed on IL with knee injury
4/11/14,Jazz,Malcolm Thomas ,,activated from IL
4/11/14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/11/14,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
4/11/14,Lakers,,Pau Gasol,vertigo (DNP)
4/11/14,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
4/11/14,Lakers,,Xavier Henry,surgery on left wrist and right knee (out indefinitely)
4/11/14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/11/14,Nets,,Alan Anderson,sore abdominal muscle (DNP)
4/11/14,Nets,,Deron Williams,placed on IL with knee injury
4/11/14,Nets,,Shaun Livingston,sprained right big toe (DNP)
4/11/14,Nets,Andray Blatche,,activated from IL
4/11/14,Pacers,,Solomon Hill,placed on IL
4/11/14,Pacers,Roy Hibbert,,activated from IL
4/11/14,Pelicans,,Anthony Davis,back spasms (DNP)
4/11/14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/11/14,Pelicans,,Jason Smith,placed on IL with right knee injury
4/11/14,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
4/11/14,Raptors,,Dwight Buycks,placed on IL
4/11/14,Raptors,,Landry Fields,placed on IL with respiratory ailment
4/11/14,Raptors,Amir Johnson,,activated from IL
4/11/14,Raptors,Julyan Stone,,activated from IL
4/11/14,Rockets,,Dexter Pittman,placed on IL
4/11/14,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/11/14,Rockets,Robert Covington,,activated from IL
4/11/14,Spurs,,Manu Ginobili,calf injury / rest (DNP)
4/11/14,Spurs,,Matt Bonner,food poisoning (DNP)
4/11/14,Spurs,,Tim Duncan,placed on IL for rest
4/11/14,Spurs, Tony Parker,,activated from IL
4/11/14,Spurs,Damion James,,activated from IL
4/11/14,Suns,,Goran Dragic,sprained ankle (DNP)
4/11/14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/11/14,Timberwolves,,Kevin Love,hyperextended right elbow (DNP)
4/11/14,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/11/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/11/14,Warriors,,Andre Iguodala,right knee tendinitis (DNP)
4/11/14,Warriors,,Jermaine O'Neal,left knee injury (DNP)
4/11/14,Cavaliers,C.J. Miles,,activated from IL
4/11/14,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4/11/14,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4/12/14,76ers,,Jarvis Varnado,sore right heel (DNP)
4/12/14,Bobcats,,Kemba Walker,sore right groin (DNP)
4/12/14,Bucks,,Brandon Knight,hip injury (DNP)
4/12/14,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/12/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/12/14,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4/12/14,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4/12/14,Cavaliers,,Luol Deng,back injury (DNP)
4/12/14,Celtics,,Jared Sullinger,sprained left ankle (DNP)
4/12/14,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
4/12/14,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/12/14,Celtics,,Rajon Rondo,bruised left shin (DNP)
4/12/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/12/14,Clippers,,Danny Granger,strained left hamstring (DNP)
4/12/14,Hawks,,Pero Antic,sprained right ankle (DNP)
4/12/14,Heat,,Justin Hamilton ,placed on IL
4/12/14,Heat,Dwyane Wade,,activated from IL
4/12/14,Jazz,,Marvin Williams,knee injury (DNP)
4/12/14,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/12/14,Mavericks,,Gal Mekel,knee injury (DNP)
4/12/14,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/12/14,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/12/14,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/12/14,Pelicans,,Anthony Davis,back spasms (DNP)
4/12/14,Pelicans,,Brian Roberts,sprained left ankle (DNP)
4/12/14,Pelicans,,Eric Gordon,left knee tendinitis (surgery) (DNP)
4/12/14,Pelicans,,Jason Smith,right knee injury (DNP)
4/12/14,Pelicans,,Tyreke Evans,DNP
4/12/14,Rockets,,Chandler Parsons,sore wrist (DNP)
4/12/14,Rockets,,Francisco Garcia,placed on IL with back injury
4/12/14,Rockets,Dexter Pittman,,activated from IL
4/12/14,Rockets,Dwight Howard,,activated from IL
4/12/14,Wizards,,Nene Hilario ,placed on IL with knee injury
4/12/14,Wizards,Chris Singleton,,activated from IL
4/13/14,Blazers,,Victor Claver,placed on IL
4/13/14,Blazers,Joel Freeland,,activated from IL (P)
4/13/14,Grizzlies,,Jamaal Franklin,placed on IL
4/13/14,Grizzlies,Tayshaun Prince,,activated from IL
4/13/14,Kings,,Rudy Gay,strained lower back (DNP)
4/13/14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/13/14,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
4/13/14,Lakers,,Pau Gasol,vertigo (DNP)
4/13/14,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
4/13/14,Magic,,Jameer Nelson,strained left groin (DNP)
4/13/14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/13/14,Nets,,Alan Anderson,sore abdominal muscle (DNP)
4/13/14,Nets,,Shaun Livingston,placed on IL with sprained right big toe
4/13/14,Nets,Deron Williams,,activated from IL
4/13/14,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
4/13/14,Raptors,,Julyan Stone,placed on IL
4/13/14,Raptors,,Landry Fields,respiratory ailment (DNP)
4/13/14,Raptors,Dwight Buycks,,activated from IL
4/13/14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/13/14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/14/14,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/14/14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/14/14,Celtics,,Jared Sullinger,sprained left ankle (DNP)
4/14/14,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
4/14/14,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/14/14,Celtics,,Vitor Faverani,knee injury (DNP)
4/14/14,Heat,,Chris Bosh,placed on IL
4/14/14,Heat,,LeBron James,placed on IL
4/14/14,Heat,Greg Oden,,activated from IL
4/14/14,Heat,Justin Hamilton ,,activated from IL
4/14/14,Jazz,,Marvin Williams,knee injury (DNP)
4/14/14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/14/14,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
